
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
      8     9.32      11.44       0.00   10508   0 conhost
      8     9.40      11.77       0.02   12628   1 conhost
     15    12.04      21.57       0.73   17552   1 conhost
     35     2.75       6.15       0.00     992   0 csrss
     30     3.39       7.38       0.00    1060   1 csrss
     18     7.91      23.72       0.81   12444   1 ctfmon
     17     3.40      11.41       0.00   11220   0 dllhost
     17     3.95      12.77       0.08   18036   1 dllhost
     47   107.78     131.77       0.00    1108   1 dwm
    106   153.07     200.23      14.80   13184   1 explorer
     19     8.38      28.47       0.06    8332   1 FileCoAuth
      8     5.12       5.88       0.00    1280   0 fontdrvhost
     15     9.76      13.95       0.00    1624   1 fontdrvhost
      5     3.89       4.55       0.00    5752   0 GoodixSessionService
     34    23.00      23.48       0.00    3384   0 hmpalert
      0     0.06       0.01       0.00       0   0 Idle
     26    41.88      39.97       0.00    5540   0 IntelAudioService
      7     1.18       5.54       0.00    2128   0 IntelCpHDCPSvc
     12     5.70       8.20       0.00    5624   0 ipfsvc
      9     4.78       7.36       1.06    2240   1 ipf_helper
      9     5.21       8.02       0.00    5636   0 ipf_uf
     27    11.36      21.52       0.00    5568   0 issuser
      9     4.47       7.74       0.00    5600   0 jhi_service
      9     2.97       7.22       0.00   13912   0 LDRegWatch
     22     9.14      18.39       0.00    5648   0 LMS
     17     7.96      15.85       0.00    5480   0 LocalSch
     37    12.40      31.09       0.00    1124   0 lsass
     31    11.14      24.39       0.00    5836   0 McsAgent
     24    10.68      18.73       0.00    5888   0 McsClient
      0     0.09       0.81       0.00    3992   0 Memory Compression
     40    55.36      88.47       0.00    2924   1 NVDisplay.Container
     18    10.55      23.46       0.00    3660   0 NVDisplay.Container
     10     5.50      11.63       0.00    5592   0 nvWmi64
     15     8.96      18.32       0.00   12856   1 nvWmi64
     21     9.16      25.49       0.00    3796   0 nxtcoordinator
     11     6.79      12.41       0.00   10476   0 nxteufb
     59   308.96     328.67       1.28   13536   1 nxtray
     32    30.41      42.16       0.00    3764   0 nxtsvc
      9     4.81       9.07       0.00   10492   0 nxtupdater
     12     5.28      12.31       0.11   14248   1 nxtusm
     27    38.64      62.72       0.00    5516   0 OfficeClickToRun
     33    47.32      59.03       0.00    5488   0 OneApp.IGCC.WinService
     47    29.44      83.12      11.53   11552   1 OneDrive
    147   233.39     328.03      13.33   11960   1 OUTLOOK
      8     3.16       8.97       0.00   14700   0 pacjsworker
     13     3.46       8.13       0.00    5524   0 pds
     80   146.54     195.30      14.09    3488   1 pwsh
     15     5.62      11.04       0.00   12920   1 rcgui
     38    12.10      25.25       0.50   16612   1 Receiver
     12     5.43      10.55       0.41   17200   1 redirector
     12    11.83      83.27       0.00     196   0 Registry
     19     4.20       0.34       0.00    5456   0 residentAgent
     12     5.42      10.51       0.00    5676   0 RstMwService
     16     8.67      16.45       0.00    5732   0 RtkAudUService64
     13     6.20      12.35       0.00   13476   1 RtkAudUService64
     15     6.71      15.04       0.14   13916   1 RtkAudUService64
     14     4.50      17.23       0.08    5420   1 RuntimeBroker
     20     6.40      25.61       1.09   11516   1 RuntimeBroker
     19     6.09      26.75       0.36   13572   1 RuntimeBroker
     33    18.76      46.73       2.25   13976   1 RuntimeBroker
     10     3.18      10.14       0.02   15840   1 RuntimeBroker
     28     9.21      21.75       0.08   16964   1 sbus
     14     4.11      11.34       0.00    5744   0 sbusagent
    100   152.17     226.50       5.92   13724   1 SearchApp
     75    45.52      55.14       0.00    8472   0 SearchIndexer
     42    18.17      11.38       0.36    3276   1 SearchProtocolHost
     14     6.52      16.96       0.00   11088   0 SearchProtocolHost
     17     3.87      14.64       0.00   15012   0 SecurityHealthService
     10     5.13      11.18       0.06   14596   1 SecurityHealthSystray
     21    53.02      61.43       0.00    2708   0 SEDService
     21     5.20      14.45       0.00    8860   0 SelfElectController
     23    17.68      22.81       0.22   17300   1 SelfServicePlugin
     13     7.40      12.68       0.00    1112   0 services
     41    49.64      64.55       0.00   10000   0 ServiceShell
     13     6.00       7.32       0.03    3440   1 SettingSyncHost
      8     7.42      10.50       0.00   10464   0 SgrmBroker
     19     8.99      27.68       0.98   12420   1 sihost
      3     1.05       1.21       0.00     900   0 smss
     22     7.09      16.21       0.00    5772   0 SoftMon
     32    55.23      54.64       0.52   15764   1 Sophos UI
     10     5.73      10.41       0.00    9012   0 SophosFileScanner
     29   253.18     255.28       0.00    9192   0 SophosFileScanner
      9     4.88       8.47       0.00    5816   0 SophosFS
     14     7.21      10.76       0.00    5896   0 SophosHealth
     13     8.23      13.95       0.00    5828   0 SophosLiveQueryService
     11    20.33      13.40       0.00    8196   0 SophosMTRExtension
     13     9.82      15.12       0.00   10624   0 SophosNetFilter
     22    10.58      22.16       0.00    5808   0 SophosNtpService
     19    20.73      21.48       0.00    6728   0 SophosOsquery
     12    13.09      10.11       0.00    4808   0 SophosOsqueryExtension
     25    13.72      21.06       0.00    4356   0 spoolsv
     13     5.72       9.89       0.00   12024   1 ssonsvr
    300   366.39     366.71       0.00    5880   0 SSPService
     33    34.19      90.91       1.06   13352   1 StartMenuExperienceHost
     28    13.62      34.46       0.00    1244   0 svchost
     17     5.18      11.67       0.00    1340   0 svchost
     22    10.36      18.68       0.00    1348   0 svchost
     13     4.91      12.47       0.00    1384   0 svchost
     20     7.90      17.25       0.00    1412   0 svchost
     15    12.26      26.83       0.00    1652   0 svchost
     21     7.11      14.90       0.00    1764   0 svchost
     17     4.73      11.09       0.00    1780   0 svchost
     13     3.22       8.87       0.00    1792   0 svchost
     28     7.17      10.90       0.00    1800   0 svchost
     14     5.15       9.38       0.00    1812   0 svchost
     10     4.76       8.33       0.00    1820   0 svchost
     23     4.44      13.34       0.00    1828   0 svchost
     18     4.55      11.92       0.00    1928   0 svchost
     11     3.96       9.36       0.00    1940   0 svchost
     16    21.04      24.29       0.00    2028   0 svchost
     11     3.56      13.27       0.00    2036   0 svchost
     15     4.17      11.96       0.00    2044   0 svchost
     12     4.00      10.47       0.00    2136   0 svchost
     15     5.15      15.56       0.00    2172   0 svchost
     17     5.24      11.05       0.00    2180   0 svchost
     14     3.99      13.42       0.00    2204   0 svchost
     20     6.33      14.88       0.00    2232   0 svchost
     11     3.23       7.85       0.00    2272   0 svchost
      9     4.75       7.55       0.00    2400   0 svchost
     12     4.43      11.46       0.00    2456   0 svchost
     34    11.67      21.21       0.00    2464   0 svchost
     11     3.42       9.68       0.00    2476   0 svchost
     14     4.69      11.14       0.00    2728   0 svchost
     11     3.31       9.19       0.00    2880   0 svchost
      9     4.92       7.88       0.00    2888   0 svchost
     13     3.75      11.85       0.00    2932   0 svchost
     13     4.05      10.25       0.00    3028   0 svchost
     11     8.89      16.99       0.00    3056   0 svchost
     10     4.75       8.73       0.00    3292   0 svchost
     10     4.79       8.22       0.00    3312   0 svchost
     14     4.05      10.91       0.00    3472   0 svchost
     17     4.16      11.74       0.00    3544   0 svchost
     18    14.92      25.35       0.00    3612   0 svchost
     18     4.52      12.38       0.00    3668   0 svchost
     17     5.05      15.41       0.00    3928   0 svchost
      9     4.56       7.18       0.00    3936   0 svchost
     11     3.70       9.36       0.00    3944   0 svchost
     14     3.47      10.00       0.00    4032   0 svchost
     11     3.61       9.59       0.00    4056   0 svchost
     11     3.66       9.46       0.00    4064   0 svchost
      9     4.64       6.85       0.00    4216   0 svchost
     15     5.04      14.94       0.00    4464   0 svchost
     12     3.70      10.13       0.00    4616   0 svchost
     13     3.41       8.20       0.00    4656   0 svchost
     15     5.15      13.39       0.00    4704   0 svchost
     26     8.93      23.64       0.00    4764   0 svchost
     19     5.14      14.91       0.00    4876   0 svchost
     15     4.39       9.81       0.00    4884   0 svchost
     14     3.76       9.27       0.00    4896   0 svchost
     12     3.71      10.56       0.00    4940   0 svchost
     18     4.73      16.27       0.00    5004   0 svchost
     24    93.96     101.57       0.00    5192   0 svchost
     24     4.77      12.52       0.00    5464   0 svchost
     14     4.30      14.05       0.00    5504   0 svchost
     26    22.86      42.50       0.00    5576   0 svchost
     24    15.09      21.35       0.00    5584   0 svchost
     10     3.21       8.32       0.00    5664   0 svchost
      9     4.52       7.11       0.00    5912   0 svchost
     20     5.89      21.66       0.00    5992   0 svchost
     13     4.02      11.12       0.00    6048   0 svchost
      8     2.88       7.04       0.00    7056   0 svchost
     25     4.98      14.59       0.00    7072   0 svchost
      9     3.34       8.27       0.00    8084   0 svchost
     17     5.79      16.85       0.00    8708   0 svchost
     14     4.01      12.90       0.00    9016   0 svchost
     16     3.72       9.29       0.00    9176   0 svchost
     79   120.79      28.41       0.00   10852   0 svchost
     13     4.07      13.17       0.00   11196   0 svchost
      8     2.92       7.34       0.00   11520   0 svchost
     14     5.80      12.67       0.00   12152   0 svchost
     17     7.35      28.62       0.11   12508   1 svchost
     10     3.33       9.99       0.06   12516   1 svchost
     24    10.49      37.86       0.55   12568   1 svchost
     19     5.52      18.76       0.00   12644   0 svchost
     17     6.04      24.10       0.00   12884   0 svchost
     18     5.70      22.70       0.00   14072   0 svchost
      9     1.62       7.49       0.00   15832   0 svchost
     15     3.48      12.30       0.00   16372   0 svchost
     17     5.41      25.12       0.12   17732   1 svchost
     15     4.39      14.34       0.09   18096   1 svchost
      0     0.20       0.15       0.00       4   0 System
     37    33.75       3.46       0.31   16676   1 SystemSettings
     17     7.06      18.07       0.22   13928   1 TabTip
     29     8.58      16.18       0.19   13048   1 taskhostw
      8     4.50       7.15       0.00    5864   0 TbtP2pShortcutService
     33   236.12     262.80      11.62    2212   1 Teams
     23   112.71     156.17       5.06   15760   1 Teams
     31   117.05     143.88       1.38   15996   1 Teams
     51    87.68     146.42       4.73   16220   1 Teams
     20    18.23      45.30       0.50   16292   1 Teams
     19    27.62      60.42       0.20   16380   1 Teams
     18    13.88      63.90       0.08   16704   1 Teams
     49   114.41     165.64       0.98   17212   1 Teams
     14    16.20      75.26       0.05   17420   1 Teams
     25    20.98      63.23       0.25   14904   1 TextInputHost
      8     4.39       7.37       0.00    5904   0 TISmartAmpService
     12     5.22      10.96       0.12   12596   1 TISmartAmpService
     21     7.46      15.22       0.00    5532   0 tmcsvc
     21    14.58      21.73       0.00    5560   0 UpdaterService
     17     5.98      13.62       0.00   10872   0 vds
     12     3.45       7.84       0.00    5960   0 vmnat
      8    10.51      12.55       0.00    5920   0 vmnetdhcp
     14     5.94      13.07       0.00    5932   0 vmware-usbarbitrator64
     26     6.86      21.49       0.00    4680   0 vpnagent
     15    16.45      20.16       0.00    5952   0 WavesAudioService
     32   276.42     279.30       2.17   14300   1 WavesSvc64
     32    19.80     332.75       0.00    5984   0 WavesSysSvc64
     28     9.12      18.87       0.11   16756   1 wfcrun32
     11     1.43       7.09       0.00    1040   0 wininit
     14     5.92      19.35       0.00    1576   1 winlogon
     61    48.82       4.06       0.58    9848   1 WinStore.App
      9     4.73       9.01       0.00    5336   0 wlanext
     19    31.16      37.81       0.00    3160   0 WmiPrvSE
     26    23.25      37.03       0.00    4472   0 WmiPrvSE
     14     4.52      13.89       0.00    5976   0 WMIRegistrationService
     22    17.01      25.22       0.00    1264   0 WUDFHost
     30    13.09      21.97       0.00    1432   0 WUDFHost
     11     7.11       8.71       0.00    1492   0 WUDFHost
     50    37.50      15.32       0.39   14132   1 YourPhone

